year,unit,group,program,program_label,estimate,se,ci_lower,ci_upper,cv,n_unweighted,n_weighted,reliable,suppressed,source
2023,person,ILLEGAL,any_benefit,Any Benefit,0.39396772996859664,0.029649254774921516,0.33454595733501863,0.45338950260217464,0.0752580795825203,690.6,2200000.0,True,False,imputed
2023,person,ILLEGAL,any_cash,Any Cash Benefit,0.026516537797661048,0.009664161365240504,0.006957397935768467,0.04607567765955363,0.364457888091746,690.6,2200000.0,False,False,imputed
2023,person,ILLEGAL,medicaid,Medicaid/Medi-Cal,0.3207006129558182,0.03267591146349378,0.2540768852300563,0.3873243406815801,0.10188914564998174,690.6,77581.6,True,False,imputed
2023,person,ILLEGAL,public_assistance,Public Assistance,0.015389617528468458,0.007124285838270785,0.0010672513477366155,0.0297119837092003,0.4629280633577759,690.6,77581.6,False,False,imputed
2023,person,ILLEGAL,snap,SNAP/CalFresh,0.16910412281670817,0.02003607968307108,0.12952338005607217,0.20868486557734417,0.11848368537287629,690.6,77581.6,True,False,imputed
2023,person,ILLEGAL,ssi,SSI,0.012344078194342278,0.007044565616466123,-0.0021562506404017683,0.026844407029086324,0.5706838133684938,690.6,77581.6,False,False,imputed
2023,person,LEGAL_IMMIGRANT,any_benefit,Any Benefit,0.3583985493496222,0.0027258206333507667,0.35305603411174036,0.363741064587504,0.007605557104785308,105508.4,10555643.4,True,False,imputed
2023,person,LEGAL_IMMIGRANT,any_cash,Any Cash Benefit,0.04878486852468626,0.0008318991612638211,0.047154372663991584,0.05041536438538094,0.017052401419158505,105508.4,10555643.4,True,False,imputed
2023,person,LEGAL_IMMIGRANT,medicaid,Medicaid/Medi-Cal,0.2854112059639565,0.002347279686882971,0.280810600710471,0.2900118112174421,0.008224202966926953,105508.4,10555643.4,True,False,imputed
2023,person,LEGAL_IMMIGRANT,public_assistance,Public Assistance,0.016890381352156796,0.0005974289629949285,0.015719440267863264,0.01806132243645033,0.035370957620127416,105508.4,10555643.4,True,False,imputed
2023,person,LEGAL_IMMIGRANT,snap,SNAP/CalFresh,0.166259620520377,0.0023034055488697427,0.16174502795583037,0.1707742130849236,0.013854269254677112,105508.4,10555643.4,True,False,imputed
2023,person,LEGAL_IMMIGRANT,ssi,SSI,0.0343395187743316,0.0006630577823249522,0.03303994725919873,0.035639090289464465,0.019308883932892512,105508.4,10555643.4,True,False,imputed
2023,person,US_BORN,any_benefit,Any Benefit,0.3274321430830361,0.0017289196870631188,0.3240435227642301,0.3308207634018421,0.0052802381305144756,286119.0,28331968.0,True,False,imputed
2023,person,US_BORN,any_cash,Any Cash Benefit,0.03391751677822028,0.00040725188174401474,0.033119317757365846,0.03471571579907472,0.012007125533598218,286119.0,28331968.0,True,False,imputed
2023,person,US_BORN,medicaid,Medicaid/Medi-Cal,0.26962253381057044,0.0015285515219460504,0.2666266278790423,0.2726184397420986,0.005669227643339224,286119.0,28331968.0,True,False,imputed
2023,person,US_BORN,public_assistance,Public Assistance,0.014427942315902659,0.00029464739579410613,0.013850444032007693,0.015005440599797625,0.020421997076419004,286119.0,28331968.0,True,False,imputed
2023,person,US_BORN,snap,SNAP/CalFresh,0.15995782573240236,0.001693171170832262,0.1566392712179096,0.16327638024689511,0.010585109938070878,286119.0,28331968.0,True,False,imputed
2023,person,US_BORN,ssi,SSI,0.021054838124905408,0.0002952534834510517,0.020476151931031354,0.021633524318779462,0.014023070692802021,286119.0,28331968.0,True,False,imputed
